Iteration	Posterior	Likelihood	Prior	T
4270	-1291.396	-1288.4	-2.995732	10.31954
4280	-1291.407	-1288.411	-2.995732	8.58529
4290	-1291.796	-1288.801	-2.995732	12.42722
4300	-1291.361	-1288.366	-2.995732	9.803678
4310	-1291.429	-1288.433	-2.995732	10.61696
4320	-1291.45	-1288.454	-2.995732	8.28326
4330	-1292.625	-1289.63	-2.995732	14.80445
4340	-1291.626	-1288.63	-2.995732	7.522482
4350	-1293.094	-1290.098	-2.995732	15.86799
4360	-1291.662	-1288.667	-2.995732	11.90213
4370	-1291.738	-1288.743	-2.995732	12.20994
4380	-1291.739	-1288.743	-2.995732	7.183799
4390	-1291.594	-1288.598	-2.995732	7.633815
4400	-1291.745	-1288.749	-2.995732	12.2357
4410	-1291.476	-1288.481	-2.995732	10.9576
4420	-1291.356	-1288.36	-2.995732	9.350208
4430	-1292.169	-1289.173	-2.995732	6.278141
4440	-1291.925	-1288.93	-2.995732	12.87331
4450	-1291.363	-1288.368	-2.995732	9.849523
4460	-1291.849	-1288.853	-2.995732	12.61578
4470	-1291.442	-1288.446	-2.995732	8.330706
4480	-1291.495	-1288.499	-2.995732	8.039864
4490	-1293.086	-1290.09	-2.995732	5.098711
4500	-1291.75	-1288.754	-2.995732	12.2539
4510	-1291.394	-1288.398	-2.995732	8.702126
4520	-1291.374	-1288.379	-2.995732	10.0521
4530	-1291.403	-1288.408	-2.995732	10.39444
4540	-1291.39	-1288.394	-2.995732	8.736797
4550	-1293.467	-1290.471	-2.995732	4.743923
4560	-1291.496	-1288.501	-2.995732	8.034609
4570	-1292.365	-1289.369	-2.995732	5.968159
4580	-1291.477	-1288.481	-2.995732	10.9613
4590	-1291.391	-1288.395	-2.995732	10.26481
4600	-1291.435	-1288.439	-2.995732	8.376506
4610	-1291.361	-1288.365	-2.995732	9.793801
4620	-1291.362	-1288.366	-2.995732	9.817807
4630	-1291.734	-1288.738	-2.995732	12.1913
4640	-1291.444	-1288.449	-2.995732	10.73923
4650	-1292.243	-1289.247	-2.995732	13.82248
4660	-1291.482	-1288.486	-2.995732	10.99384
4670	-1291.372	-1288.376	-2.995732	8.963565
4680	-1291.77	-1288.775	-2.995732	12.33106
4690	-1291.374	-1288.378	-2.995732	8.929587
4700	-1291.439	-1288.444	-2.995732	8.348044
4710	-1292.977	-1289.982	-2.995732	5.210701
4720	-1291.364	-1288.368	-2.995732	9.093965
4730	-1291.46	-1288.464	-2.995732	8.22332
4740	-1291.375	-1288.379	-2.995732	10.05337
4750	-1293.078	-1290.082	-2.995732	5.106784
4760	-1291.842	-1288.846	-2.995732	6.925067
4770	-1291.457	-1288.461	-2.995732	8.242611
4780	-1291.987	-1288.992	-2.995732	13.07238
4790	-1291.377	-1288.381	-2.995732	8.885715
4800	-1291.689	-1288.693	-2.995732	7.324368
4810	-1291.689	-1288.693	-2.995732	12.01413
4820	-1291.367	-1288.372	-2.995732	9.034244
4830	-1292.266	-1289.271	-2.995732	13.88667
4840	-1291.429	-1288.434	-2.995732	10.62271
4850	-1291.43	-1288.434	-2.995732	10.62603
4860	-1291.547	-1288.551	-2.995732	11.36386
4870	-1291.384	-1288.388	-2.995732	8.807195
4880	-1292.006	-1289.011	-2.995732	13.13184
4890	-1291.396	-1288.4	-2.995732	8.67793
4900	-1291.634	-1288.638	-2.995732	7.496245
4910	-1291.417	-1288.422	-2.995732	10.5235
4920	-1291.851	-1288.855	-2.995732	12.62247
4930	-1291.535	-1288.54	-2.995732	11.30087
4940	-1293.267	-1290.271	-2.995732	16.23535
4950	-1291.474	-1288.478	-2.995732	10.94038
4960	-1291.843	-1288.847	-2.995732	12.59265
4970	-1292.456	-1289.46	-2.995732	14.38625
4980	-1291.705	-1288.709	-2.995732	12.07745
4990	-1291.607	-1288.611	-2.995732	11.65804
5000	-1291.699	-1288.703	-2.995732	12.05388
5010	-1292.377	-1289.381	-2.995732	14.18236
5020	-1291.835	-1288.839	-2.995732	6.940717
5030	-1291.563	-1288.567	-2.995732	7.7477
5040	-1291.827	-1288.831	-2.995732	12.53778
5050	-1291.738	-1288.742	-2.995732	7.186933
5060	-1291.553	-1288.557	-2.995732	7.787939
5070	-1291.367	-1288.371	-2.995732	9.92076
5080	-1291.416	-1288.421	-2.995732	10.51467
5090	-1292.077	-1289.081	-2.995732	6.439412
5100	-1291.577	-1288.581	-2.995732	11.51217
5110	-1291.577	-1288.581	-2.995732	11.51473
5120	-1292.014	-1289.018	-2.995732	13.15473
5130	-1291.355	-1288.36	-2.995732	9.560889
5140	-1291.362	-1288.366	-2.995732	9.816947
