Iteration	Replicate_ID	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
72	0	-4274.841	-4290.925	16.08402	0.0950215	0.207288	0.257509	0.190576	0.130786	0.094116	0.0881162	0.0914117	0.0517197	0.0184506	0.0231109	0.0389055	0.0707545	0.187508	0.263981	0.145128	0.050365	0.320435	0.0325837	0.279711	0.254755	0.193461	0.272074	1.357765
73	0	-4267.943	-4284.09	16.14711	0.0789606	0.188881	0.221674	0.201338	0.138906	0.0923561	0.0899769	0.115439	0.0571822	0.0336345	0.0238824	0.0354881	0.0737378	0.201928	0.23859	0.138859	0.0574993	0.329733	0.0333912	0.267183	0.271107	0.185263	0.276447	1.351456
74	0	-4272.15	-4287.629	15.47905	0.110562	0.162193	0.236315	0.196952	0.140043	0.0957548	0.0899769	0.142136	0.0714178	0.0127522	0.029273	0.0635787	0.067309	0.217921	0.238625	0.125243	0.0607656	0.33222	0.0252252	0.270624	0.237574	0.176966	0.314836	1.418263
75	0	-4270.492	-4286.159	15.66698	0.110773	0.136927	0.230411	0.20084	0.122482	0.112285	0.102121	0.141081	0.0835924	0.0306258	0.0213903	0.0450857	0.0618557	0.221092	0.276867	0.140526	0.049522	0.286575	0.0254178	0.264757	0.274007	0.154102	0.307133	1.39947
76	0	-4272.568	-4287.373	14.8048	0.12058	0.152353	0.238335	0.18146	0.135679	0.159749	0.110461	0.140701	0.0647121	0.0395907	0.0278009	0.0450857	0.069181	0.18152	0.251986	0.140462	0.0482659	0.336814	0.0409523	0.27773	0.278109	0.152873	0.291289	1.485687
77	0	-4271.148	-4286.199	15.05053	0.12058	0.198186	0.233547	0.199428	0.128339	0.121136	0.0953411	0.118143	0.0920401	0.0220828	0.0282484	0.0450857	0.0589589	0.185221	0.270636	0.121405	0.0334207	0.339834	0.0494824	0.260054	0.283529	0.157677	0.29874	1.461114
78	0	-4268.468	-4283.997	15.5291	0.0909899	0.188132	0.220496	0.194106	0.136459	0.10955	0.0875483	0.143593	0.0617267	0.0177106	0.0434584	0.0435217	0.0759651	0.18362	0.255468	0.143851	0.0328753	0.337618	0.0465668	0.2822	0.283876	0.158642	0.275282	1.413257
79	0	-4272.475	-4287.772	15.29636	0.119006	0.203901	0.250299	0.20403	0.120904	0.10955	0.0979119	0.107947	0.0432207	0.0257631	0.0274785	0.0390367	0.0874829	0.206411	0.214787	0.128316	0.0486879	0.371398	0.0304005	0.298953	0.253955	0.184227	0.262865	1.436531
80	0	-4270.932	-4287.142	16.20926	0.0939387	0.177373	0.208671	0.174338	0.117516	0.11806	0.110171	0.12751	0.0652418	0.0349231	0.0202513	0.032086	0.0651612	0.196683	0.260889	0.142847	0.0535075	0.289337	0.0567373	0.271807	0.282569	0.178	0.267624	1.345242
81	0	-4273.474	-4288.317	14.84346	0.138891	0.21837	0.245656	0.184476	0.155628	0.10272	0.108378	0.111786	0.0793267	0.0378478	0.0284803	0.0112116	0.0590521	0.198086	0.227485	0.142325	0.0688998	0.327414	0.0357902	0.261554	0.272985	0.182147	0.283314	1.481822
82	0	-4272.83	-4288.383	15.55211	0.128409	0.169313	0.192291	0.200037	0.140934	0.0920126	0.113635	0.106057	0.0526664	0.0546421	0.044935	0.0294737	0.0865526	0.217715	0.229707	0.12797	0.072507	0.315868	0.0362336	0.267915	0.251311	0.174327	0.306446	1.410957
83	0	-4268.033	-4283.163	15.13078	0.124742	0.199682	0.200724	0.212376	0.143224	0.101586	0.0862455	0.154301	0.0447475	0.0557188	0.0339911	0.0216265	0.0741253	0.200736	0.23238	0.140333	0.0589574	0.330634	0.0369597	0.271889	0.264188	0.181719	0.282204	1.453089
84	0	-4270.983	-4286.131	15.14789	0.120105	0.185452	0.228792	0.207337	0.118874	0.100767	0.0884576	0.153881	0.0640416	0.0476659	0.0253858	0.0338269	0.0767924	0.21815	0.218892	0.130385	0.0572938	0.342701	0.0325774	0.289529	0.282997	0.160653	0.266821	1.451378
85	0	-4276.905	-4292.468	15.56319	0.110075	0.184144	0.18971	0.194084	0.156016	0.12	0.0983447	0.100642	0.0672605	0.0611204	0.00666035	0.0408133	0.0809781	0.206065	0.206766	0.120571	0.0716284	0.356591	0.0383779	0.267868	0.254821	0.17409	0.303221	1.409848
86	0	-4277.116	-4293.459	16.34281	0.127994	0.210309	0.162793	0.171321	0.129537	0.0984801	0.0893139	0.0937905	0.0507324	0.0528239	0.0254574	0.0552795	0.0640532	0.222836	0.254636	0.116136	0.0505777	0.308046	0.047768	0.269331	0.262155	0.180266	0.288248	1.331886
